YEAR	WEEK	AGE 0-4	AGE 5-24	AGE 25-49	AGE 25-64	AGE 50-64	AGE 65	ILITOTAL	TOTAL PATIENTS	NUM. OF PROVIDERS	% Unweighted ILI	ILI	Day
2011	40	203	361	156	X	87	70	877	81545	207	1.0754797964	1.5455371201	646
2011	41	253	370	190	X	106	81	1000	90657	214	1.103058782	1.7383424442	653
2011	42	290	481	194	X	95	87	1147	86004	211	1.3336588996	2.0071125364	660
2011	43	294	501	210	X	114	77	1196	86851	215	1.3770710758	1.9581502129	667
2011	44	343	525	216	X	141	87	1312	79289	218	1.6547062014	2.1589919913	674
2011	45	336	474	210	X	67	103	1190	83872	224	1.4188286913	1.8920286263	681
2011	46	367	559	263	X	149	129	1467	89971	219	1.6305253915	2.2702843021	688
2011	47	295	305	187	X	109	92	988	62168	221	1.5892420538	2.2050655746	695
2011	48	305	404	161	X	66	45	981	80718	220	1.2153423028	1.533757007	702
2011	49	300	447	270	X	166	124	1307	75807	221	1.7241151873	2.3347872657	709
2011	50	374	460	246	X	150	149	1379	79032	224	1.7448628404	2.5661327502	716
2011	51	373	336	229	X	163	129	1230	61275	216	2.0073439412	3.0501415212	723
2011	52	314	287	227	X	167	152	1147	50050	209	2.2917082917	3.6881649579	730
2012	1	326	329	257	X	189	190	1291	61883	211	2.0861949162	2.9963614679	737
2012	2	345	416	270	X	183	143	1357	75175	214	1.8051213834	2.5057277625	744
2012	3	361	459	284	X	169	73	1346	77897	217	1.7279227698	2.3680170542	751
2012	4	462	656	284	X	174	143	1719	78511	213	2.189502108	3.0127667793	758
2012	5	577	727	306	X	208	143	1961	77717	217	2.5232574598	3.3407659915	765
2012	6	560	714	336	X	164	139	1913	81415	214	2.3496898606	2.9343837759	772
2012	7	618	740	369	X	188	158	2073	85701	218	2.4188749256	3.1713176264	779
2012	8	501	782	370	X	195	188	2036	77642	212	2.6222920584	3.6595700353	786
2012	9	505	721	394	X	214	196	2030	83552	214	2.4296246649	3.1412257988	793
2012	10	412	638	286	X	116	81	1533	72535	211	2.1134624664	2.4975607457	800
2012	11	457	767	333	X	159	77	1793	79580	217	2.253078663	2.8193220446	807
2012	12	439	654	308	X	140	96	1637	70152	207	2.3335043905	2.6217276778	814
2012	13	448	772	453	X	233	169	2075	75580	214	2.7454353003	3.4326501081	821
2012	14	424	603	383	X	190	179	1779	76727	204	2.3186101372	2.7089822328	828
2012	15	295	502	290	X	162	147	1396	68063	201	2.0510409474	2.5827996228	835
2012	16	256	452	247	X	130	42	1127	68360	197	1.6486249269	1.9847074755	842
2012	17	260	482	276	X	168	118	1304	76694	192	1.7002633844	1.9386784994	849
2012	18	244	512	301	X	148	110	1315	66915	183	1.9651797056	2.1206544295	856
2012	19	267	496	239	X	146	130	1278	66332	173	1.9266718929	1.9836358057	863
2012	20	235	428	265	X	145	110	1183	69371	169	1.7053235502	1.8565226139	870
2012	21	236	437	247	X	131	116	1167	60502	162	1.9288618558	2.0105536982	877
2012	22	236	303	211	X	128	103	981	51564	159	1.9024901094	2.0025602409	884
2012	23	178	262	215	X	111	124	890	64108	162	1.3882822737	1.7462342607	891
2012	24	165	233	178	X	114	106	796	56458	156	1.409897623	1.6052529993	898
2012	25	218	251	181	X	111	94	855	62645	160	1.3648335861	1.7684120433	905
2012	26	169	190	149	X	109	90	707	60883	153	1.1612436969	1.6154404483	912
2012	27	162	162	126	X	83	81	614	50812	151	1.2083759742	1.6458564243	919
2012	28	129	191	119	X	82	73	594	57761	141	1.0283755475	1.5307923572	926
2012	29	135	182	143	X	81	85	626	59124	142	1.058791692	1.4449505904	933
2012	30	161	188	145	X	78	96	668	58383	143	1.1441686792	1.4614830606	940
2012	31	153	205	152	X	108	92	710	52902	143	1.3421042683	1.5799583989	947
2012	32	168	222	160	X	98	107	755	52236	138	1.4453633509	1.5062144311	954
2012	33	136	173	114	X	55	51	529	44462	134	1.1897800369	1.0733009418	961
2012	34	180	253	175	X	100	108	816	53971	137	1.5119230698	1.7130371911	968
2012	35	203	348	192	X	121	89	953	58476	139	1.6297284356	1.8513109711	975
2012	36	169	335	177	X	101	93	875	50611	139	1.7288731699	2.0620361101	982
2012	37	189	369	191	X	110	179	1038	60359	140	1.7197103994	2.0274713198	989
2012	38	220	417	195	X	111	91	1034	61297	137	1.6868688517	2.1210182419	996
2012	39	198	362	213	X	105	110	988	57841	127	1.7081309106	2.0917799297	1003
2012	40	279	416	206	X	138	103	1142	82494	210	1.3843431037	1.8128397426	1010
2012	41	261	452	213	X	128	113	1167	79938	211	1.4598814081	1.9422614503	1017
2012	42	301	498	238	X	156	117	1310	85981	217	1.5235924216	2.0410287939	1024
2012	43	292	491	236	X	133	115	1267	80822	209	1.5676424736	2.0413048604	1031
2012	44	300	509	262	X	127	99	1297	81557	206	1.5902988094	2.1284784096	1038
2012	45	366	556	253	X	133	105	1413	84565	209	1.6709040383	2.2218348254	1045
2012	46	329	534	213	X	155	133	1364	78668	211	1.7338689175	2.2123897232	1052
2012	47	287	385	181	X	131	124	1108	60145	209	1.8422146479	2.4064733127	1059
2012	48	304	505	327	X	186	159	1481	85512	214	1.7319206661	2.2349449386	1066
2012	49	355	505	308	X	180	161	1509	85434	215	1.7662757216	2.1928294293	1073
2012	50	374	578	342	X	200	173	1667	81938	215	2.0344650834	2.4589027545	1080
2012	51	446	547	393	X	224	198	1808	71168	197	2.5404676259	3.055622814	1087
2012	52	569	402	363	X	216	205	1755	53617	190	3.2732155846	4.8270298392	1094
2013	1	520	462	426	X	243	201	1852	63312	209	2.9251958554	3.4193296332	1101
2013	2	564	881	581	X	342	283	2651	85698	212	3.0934210833	3.4903285012	1108
2013	3	847	1487	730	X	358	281	3703	90604	214	4.0870160258	4.6863392699	1115
2013	4	1042	1718	805	X	388	292	4245	83583	209	5.0787839632	5.5785263812	1122
2013	5	913	1735	698	X	372	283	4001	87984	203	4.5474177123	5.4914793163	1129
2013	6	844	1468	550	X	258	162	3282	75074	195	4.3716866026	4.9883621779	1136
2013	7	745	1239	520	X	261	164	2929	73018	198	4.0113396697	4.4921474531	1143
2013	8	620	934	438	X	198	139	2329	69443	200	3.3538297597	3.8169793422	1150
2013	9	509	914	317	X	205	142	2087	65968	195	3.1636551055	3.4736329582	1157
2013	10	474	886	339	X	180	125	2004	64767	192	3.0941683265	3.6080628707	1164
2013	11	423	738	285	X	149	100	1695	60808	184	2.787462176	3.1450264373	1171
2013	12	337	590	236	X	137	88	1388	56027	179	2.477376979	2.8959685439	1178
2013	13	337	473	213	X	119	54	1196	55257	183	2.1644316557	2.6178657088	1185
2013	14	250	413	192	X	105	62	1022	54895	171	1.8617360415	2.2302371671	1192
2013	15	279	412	166	X	91	65	1013	61169	173	1.6560676159	1.8562982954	1199
2013	16	199	378	147	X	74	54	852	56618	165	1.5048217881	1.6806184206	1206
2013	17	234	392	164	X	53	41	884	60128	172	1.4701969133	1.643667705	1213
2013	18	207	361	161	X	83	45	857	57314	167	1.4952716614	1.6153770936	1220
2013	19	210	313	129	X	68	48	768	55730	167	1.3780728512	1.5483156867	1227
2013	20	221	296	141	X	79	39	776	53194	155	1.4588111441	1.6145443646	1234
