YEAR	WEEK	AGE 0-4	AGE 5-24	AGE 25-49	AGE 25-64	AGE 50-64	AGE 65	ILITOTAL	TOTAL PATIENTS	NUM. OF PROVIDERS	% Unweighted ILI	ILI	Day
2011	40	57	41	26	X	9	7	140	18268	48	0.7663674184	0.5466864077	646
2011	41	59	54	19	X	11	7	150	17893	52	0.8383166601	0.6992647203	653
2011	42	44	47	21	X	13	6	131	18775	53	0.6977363515	0.5815402014	660
2011	43	48	56	30	X	10	10	154	19377	57	0.7947566703	0.653305978	667
2011	44	42	72	39	X	16	8	177	17982	56	0.984317651	0.8231206833	674
2011	45	51	54	29	X	7	13	154	18044	54	0.8534692973	0.6622449726	681
2011	46	65	76	29	X	18	3	191	17818	52	1.0719497138	0.9027732873	688
2011	47	52	40	27	X	13	7	139	12677	54	1.0964739292	1.07526273	695
2011	48	58	71	22	X	22	19	192	18776	54	1.0225820196	0.8296847107	702
2011	49	43	45	27	X	12	9	136	18199	54	0.7472938074	0.5875944237	709
2011	50	37	60	47	X	19	16	179	15819	51	1.1315506669	1.008575264	716
2011	51	65	39	39	X	10	6	159	14026	52	1.1336090118	1.153620061	723
2011	52	52	54	40	X	18	12	176	11942	54	1.4737899849	1.2503946316	730
2012	1	55	56	29	X	16	13	169	14610	53	1.1567419576	1.0920538746	737
2012	2	42	55	36	X	7	3	143	17231	51	0.8298995996	0.736409535	744
2012	3	52	64	20	X	10	9	155	12435	51	1.2464817049	1.1482890397	751
2012	4	83	85	23	X	15	8	214	17915	55	1.1945297237	1.0627046264	758
2012	5	53	115	39	X	21	14	242	17493	56	1.3834105071	1.2311143894	765
2012	6	54	101	41	X	20	13	229	18315	54	1.2503412503	1.1894283695	772
2012	7	89	104	72	X	22	17	304	18060	56	1.6832779623	1.5211549746	779
2012	8	73	79	76	X	17	11	256	17294	50	1.4802821788	1.4032339326	786
2012	9	81	115	68	X	25	18	307	18671	53	1.6442611537	1.4852699323	793
2012	10	97	126	42	X	23	10	298	18097	53	1.6466817705	1.5787246422	800
2012	11	106	125	79	X	29	19	358	16933	53	2.1142148467	1.8724764145	807
2012	12	98	134	86	X	42	18	378	16552	52	2.2837119381	2.1893226556	814
2012	13	79	108	62	X	15	8	272	14741	49	1.8451936775	1.7688733452	821
2012	14	86	124	62	X	20	13	305	16740	50	1.8219832736	1.5872214771	828
2012	15	81	127	85	X	27	22	342	16885	50	2.0254663903	1.9450975489	835
2012	16	60	128	65	X	21	19	293	16312	48	1.796223639	1.5818713425	842
2012	17	57	125	44	X	21	9	256	16139	46	1.5862197162	1.4221534069	849
2012	18	49	128	49	X	16	12	254	15881	45	1.5993955041	1.4490710753	856
2012	19	40	89	41	X	15	7	192	15361	43	1.2499186251	1.1264458901	863
2012	20	37	74	32	X	12	2	157	14786	39	1.0618152306	0.9403678158	870
2012	21	39	52	21	X	6	5	123	14113	36	0.8715368809	0.6806345958	877
2012	22	33	40	16	X	8	5	102	11736	34	0.8691206544	0.7343301037	884
2012	23	33	32	14	X	3	4	86	13092	34	0.6568897036	0.566978169	891
2012	24	20	26	15	X	6	4	71	12514	31	0.5673645517	0.5207093813	898
