YEAR	WEEK	ILI	Day
2011	40	1.1574692752	646
2011	41	1.1768360708	653
2011	42	1.1001038547	660
2011	43	1.2510812148	667
2011	44	1.2826942852	674
2011	45	1.3793212525	681
2011	46	1.4064524183	688
2011	47	1.5638138374	695
2011	48	1.473720688	702
2011	49	1.338442376	709
2011	50	1.5042842044	716
2011	51	1.7769457884	723
2011	52	2.1428932596	730
2012	1	1.6966203799	737
2012	2	1.5138234416	744
2012	3	1.5689332231	751
2012	4	1.4740582256	758
2012	5	1.5339347866	765
2012	6	1.6026332221	772
2012	7	1.6927326787	779
2012	8	1.5221462636	786
2012	9	1.7115018962	793
2012	10	1.5816177495	800
2012	11	1.8662092818	807
2012	12	1.4385646183	814
2012	13	1.3942932179	821
2012	14	1.2851130712	828
2012	15	1.1819056153	835
2012	16	1.0934789671	842
2012	17	1.0621441431	849
2012	18	1.294929052	856
2012	19	1.4556036487	863
2012	20	0.9903237733	870
2012	21	1.1276507763	877
2012	22	0.7235207661	884
2012	23	1.2645976425	891
2012	24	1.9171452036	898
2012	25	2.196864061	905
2012	26	1.6035125199	912
2012	27	1.8289950677	919
2012	28	1.9367003256	926
2012	29	1.8347551868	933
2012	30	1.6917662817	940
2012	31	1.8042875733	947
2012	32	1.797158051	954
2012	33	1.6309583699	961
2012	34	1.6974928046	968
2012	35	1.6848375266	975
2012	36	1.8224779589	982
2012	37	1.6905127375	989
2012	38	1.2118010766	996
2012	39	1.423083923	1003
2012	40	1.0702825918	1010
2012	41	1.0892613408	1017
2012	42	1.1347269828	1024
2012	43	1.0539182735	1031
2012	44	1.3431289355	1038
2012	45	1.2869844683	1045
2012	46	1.304335329	1052
2012	47	1.7459866677	1059
2012	48	1.6217467916	1066
2012	49	2.5119959309	1073
2012	50	3.3687453655	1080
2012	51	4.466061342	1087
2012	52	7.1307531454	1094
2013	1	4.8203324386	1101
2013	2	5.1106745223	1108
2013	3	5.1641299024	1115
2013	4	3.5935592218	1122
2013	5	3.0504947611	1129
2013	6	2.581837949	1136
2013	7	2.7556483672	1143
2013	8	2.6372780754	1150
2013	9	2.5636775068	1157
2013	10	3.3085638644	1164
2013	11	2.646462476	1171
2013	12	2.2398663737	1178
2013	13	2.1130937155	1185
2013	14	1.6873039494	1192
2013	15	1.5274879644	1199
2013	16	1.1447521346	1206
2013	17	1.0905299152	1213
2013	18	1.0540069045	1220
2013	19	1.2852038813	1227
2013	20	1.1324216904	1234
2013	21	1.0842362043	1241
2013	22	1.3123341886	1248
2013	23	1.0346054632	1255
2013	24	1.1999805742	1262
2013	25	0.8495208291	1269
2013	26	0.7838959902	1276
2013	27	0.7855480094	1283
2013	28	0.617311454	1290
2013	29	0.6363609894	1297
2013	30	0.6534060327	1304
2013	31	0.7627356593	1311
2013	32	0.7062694977	1318
2013	33	0.741412758	1325
2013	34	0.807801623	1332
2013	35	0.9234505368	1339
2013	36	0.7974360052	1346
2013	37	1.194086877	1353
2013	38	1.2048281998	1360
2013	39	1.1938308892	1367
2013	40	0.9251845494	1374
2013	41	1.064095698	1381
2013	42	1.0412244332	1388
2013	43	1.128218218	1395
2013	44	1.1029085267	1402
2013	45	1.1202163476	1409
2013	46	1.2580183352	1416
2013	47	1.1818601856	1423
2013	48	1.512618735	1430
2013	49	1.5147853987	1437
2013	50	1.6016260619	1444
2013	51	2.2360258531	1451
2013	52	3.3054945492	1458
2014	1	3.5933923868	1465
2014	2	3.1984214628	1472
2014	3	3.3560614968	1479
2014	4	3.4702851992	1486
2014	5	3.0187590316	1493
2014	6	2.7956742763	1500
2014	7	2.4160054382	1507
2014	8	2.0772212525	1514
2014	9	1.974267571	1521
2014	10	1.7697746936	1528
2014	11	1.6104424616	1535
2014	12	1.6613172599	1542
2014	13	1.7839311172	1549
2014	14	1.8955423664	1556
2014	15	1.6564711391	1563
2014	16	1.2914195901	1570
2014	17	1.2207251478	1577
2014	18	1.1067217974	1584
2014	19	1.2011518025	1591
2014	20	1.2651571112	1598
2014	21	1.3006530773	1605
2014	22	1.1837091757	1612
2014	23	1.1159211369	1619
2014	24	0.9837262051	1626
2014	25	0.9738068168	1633
2014	26	0.8859614326	1640
2014	27	0.9307126561	1647
2014	28	1.0968375757	1654
2014	29	0.7311223711	1661
2014	30	0.7803059054	1668
2014	31	0.7954764412	1675
2014	32	0.590702462	1682
2014	33	0.9478285749	1689
2014	34	0.7270437238	1696
2014	35	0.7921447036	1703
2014	36	0.9117937483	1710
2014	37	1.3592095048	1717
2014	38	1.5295305295	1724
2014	39	1.3631579363	1731
