YEAR	WEEK	ILI	Day
2011	40	1.1056703293	646
2011	41	1.1739535982	653
2011	42	1.2340643161	660
2011	43	1.2783087436	667
2011	44	1.5200429641	674
2011	45	1.5156575407	681
2011	46	1.4143037219	688
2011	47	1.6597052348	695
2011	48	1.2974596957	702
2011	49	1.6815967806	709
2011	50	1.7194273641	716
2011	51	2.0410833619	723
2011	52	2.294210788	730
2012	1	1.6402858638	737
2012	2	1.4984693946	744
2012	3	1.7156812474	751
2012	4	1.7468101543	758
2012	5	1.8169452441	765
2012	6	1.9151806361	772
2012	7	2.0473401554	779
2012	8	1.9863357766	786
2012	9	2.0578812175	793
2012	10	2.2550912984	800
2012	11	2.1683425843	807
2012	12	1.8794289827	814
2012	13	1.6532651084	821
2012	14	1.5624503144	828
2012	15	1.4371251045	835
2012	16	1.3902334318	842
2012	17	1.3118993165	849
2012	18	1.4571967433	856
2012	19	1.3587220893	863
2012	20	1.4419888047	870
2012	21	1.5288461282	877
2012	22	1.657219026	884
2012	23	1.5338992818	891
2012	24	1.4735829794	898
2012	25	1.1469952956	905
2012	26	1.1213135142	912
2012	27	1.2498328086	919
2012	28	1.0340115705	926
2012	29	0.9377481586	933
2012	30	1.0571417066	940
2012	31	0.9294001673	947
2012	32	0.8428971412	954
2012	33	1.043147093	961
2012	34	1.1095942629	968
2012	35	1.2290445512	975
2012	36	1.2478749018	982
2012	37	1.256703944	989
2012	38	1.2842069796	996
2012	39	1.3786561336	1003
2012	40	1.1170519069	1010
2012	41	1.2097114413	1017
2012	42	1.2445115253	1024
2012	43	1.2584072535	1031
2012	44	1.4221270317	1038
2012	45	1.7057465759	1045
2012	46	2.0618290193	1052
2012	47	2.8076894522	1059
2012	48	2.6858998525	1066
2012	49	4.2050573805	1073
2012	50	4.698335037	1080
2012	51	4.9533886636	1087
2012	52	6.2956901218	1094
2013	1	4.449411897	1101
2013	2	3.4801136913	1108
2013	3	3.1276852254	1115
2013	4	2.4933060376	1122
2013	5	2.5353073612	1129
2013	6	2.2823811558	1136
2013	7	2.159855166	1143
2013	8	2.0348154761	1150
2013	9	1.9485071556	1157
2013	10	2.2072248199	1164
2013	11	2.0485924446	1171
2013	12	1.834435147	1178
2013	13	1.7314835374	1185
2013	14	1.4411588248	1192
2013	15	1.1892463857	1199
2013	16	1.0283889613	1206
2013	17	0.8611189289	1213
2013	18	0.6886095282	1220
2013	19	0.7036825253	1227
2013	20	0.7604779511	1234
2013	21	0.8178348258	1241
2013	22	0.61921253	1248
2013	23	0.583142307	1255
2013	24	0.5039041484	1262
2013	25	0.5092311269	1269
2013	26	0.4753282324	1276
2013	27	0.6371411367	1283
2013	28	0.3557398259	1290
2013	29	0.3770147909	1297
2013	30	0.5328059212	1304
2013	31	0.3643074447	1311
2013	32	0.4626643161	1318
2013	33	0.5500820782	1325
2013	34	0.6242618662	1332
2013	35	0.6598953946	1339
2013	36	0.7274831772	1346
2013	37	0.7341995223	1353
2013	38	0.666963399	1360
2013	39	0.9744910189	1367
2013	40	0.9351877942	1374
2013	41	0.9965507112	1381
2013	42	1.0129298062	1388
2013	43	1.2251794311	1395
2013	44	1.2861232752	1402
2013	45	1.4837196267	1409
2013	46	1.4765160262	1416
2013	47	1.6996167527	1423
2013	48	2.1593826158	1430
2013	49	2.267934061	1437
2013	50	2.3692325474	1444
2013	51	3.2304961037	1451
2013	52	4.640977781	1458
2014	1	3.8869531152	1465
2014	2	3.084459848	1472
2014	3	2.8458117871	1479
2014	4	2.9330282932	1486
2014	5	2.6676894531	1493
2014	6	2.155260334	1500
2014	7	1.9712881954	1507
2014	8	1.5273229606	1514
2014	9	1.353911634	1521
2014	10	1.3519265952	1528
2014	11	1.1480192423	1535
2014	12	1.0442332626	1542
2014	13	0.9623234306	1549
2014	14	0.8717673192	1556
2014	15	0.8395751655	1563
2014	16	0.7869922593	1570
2014	17	0.8270285624	1577
2014	18	0.7398310628	1584
2014	19	0.7957271022	1591
2014	20	0.6912630436	1598
2014	21	0.81916801	1605
2014	22	0.7207617278	1612
2014	23	0.7533325744	1619
2014	24	0.6818377189	1626
2014	25	0.6242143988	1633
2014	26	0.568958897	1640
2014	27	0.5805236501	1647
2014	28	0.5158224343	1654
2014	29	0.5179255942	1661
2014	30	0.5475106547	1668
2014	31	0.517372751	1675
2014	32	0.5610616014	1682
2014	33	0.5202564099	1689
2014	34	0.5711840304	1696
2014	35	0.6413348517	1703
2014	36	0.7152511174	1710
2014	37	0.7606871618	1717
2014	38	0.7872837788	1724
2014	39	0.8711045458	1731
