YEAR	WEEK	AGE 0-4	AGE 5-24	AGE 25-49	AGE 25-64	AGE 50-64	AGE 65	ILITOTAL	TOTAL PATIENTS	NUM. OF PROVIDERS	% Unweighted ILI	ILI	Day
2011	40	473	440	187	X	73	59	1232	102597	289	1.2008148386	0.9413754342	646
2011	41	459	462	180	X	71	41	1213	105053	292	1.1546552692	0.943070541	653
2011	42	462	457	173	X	65	49	1206	101059	295	1.1933622933	1.0502552808	660
2011	43	435	506	147	X	61	41	1190	102723	294	1.1584552632	0.9981870117	667
2011	44	433	564	199	X	67	38	1301	102668	299	1.2671913352	1.0915970041	674
2011	45	421	496	215	X	69	54	1255	100894	299	1.2438797153	1.1177083664	681
2011	46	448	481	194	X	64	48	1235	101172	297	1.2206934725	1.0206268013	688
2011	47	434	400	178	X	79	55	1146	76745	299	1.4932568897	1.2456884314	695
2011	48	458	427	190	X	93	41	1209	99020	298	1.2209654615	1.0594545613	702
2011	49	353	423	188	X	91	41	1096	95513	294	1.1474877765	1.0057955165	709
2011	50	441	410	185	X	89	59	1184	87152	286	1.3585459886	1.1491307419	716
2011	51	476	383	205	X	68	48	1180	79520	280	1.4839034205	1.2480539301	723
2011	52	653	327	236	X	83	72	1371	71142	280	1.9271316522	1.5444400336	730
2012	1	530	325	221	X	89	75	1240	81109	288	1.5288069142	1.2464377026	737
2012	2	478	400	210	X	86	84	1258	93497	289	1.3454977165	1.1554080044	744
2012	3	541	380	184	X	83	62	1250	88562	286	1.4114405727	1.1797930367	751
2012	4	554	542	206	X	76	57	1435	98408	287	1.4582147793	1.2699020858	758
2012	5	706	551	243	X	89	70	1659	93039	276	1.7831232064	1.4557377604	765
2012	6	575	536	244	X	84	59	1498	91428	274	1.6384477403	1.3967220733	772
2012	7	719	687	269	X	111	98	1884	95722	275	1.9681995779	1.5547307866	779
2012	8	814	807	322	X	136	84	2163	95781	274	2.2582766937	1.7732254163	786
2012	9	804	816	341	X	119	89	2169	94051	264	2.3061955747	1.811716088	793
