YEAR	WEEK	AGE 0-4	AGE 5-24	AGE 25-49	AGE 25-64	AGE 50-64	AGE 65	ILITOTAL	TOTAL PATIENTS	NUM. OF PROVIDERS	% Unweighted ILI	ILI	Day
2011	40	61	90	42	X	17	13	223	25268	97	0.88253918	0.890841801	646
2011	41	63	82	42	X	13	11	211	25605	99	0.8240578012	0.8518741622	653
2011	42	54	70	34	X	15	11	184	24987	99	0.7363829191	0.761473601	660
2011	43	69	106	61	X	24	20	280	28461	102	0.9838023963	0.9612292724	667
2011	44	68	129	64	X	29	13	303	27835	104	1.0885575714	1.1408344255	674
2011	45	72	102	47	X	17	17	255	28409	104	0.8976028723	0.9093802132	681
2011	46	63	77	48	X	19	13	220	27961	102	0.7868101999	0.8399034245	688
2011	47	49	56	33	X	13	15	166	19581	104	0.8477605842	0.8621741114	695
2011	48	77	85	62	X	31	21	276	28394	105	0.9720363457	1.0333613185	702
2011	49	53	83	48	X	16	12	212	26397	106	0.8031215668	0.821730703	709
2011	50	93	114	68	X	31	27	333	23221	99	1.434046768	1.4332954933	716
2011	51	73	93	48	X	27	28	269	19694	102	1.3658982431	1.4139244827	723
2011	52	112	85	70	X	37	38	342	18371	100	1.8616297425	1.8937337129	730
2012	1	93	92	55	X	31	42	313	22751	102	1.3757637027	1.479525455	737
2012	2	128	87	82	X	30	37	364	26039	104	1.3979031453	1.4989565984	744
2012	3	127	139	75	X	35	31	407	25804	103	1.5772748411	1.6010270068	751
2012	4	128	178	85	X	37	36	464	28884	106	1.6064257028	1.756293706	758
2012	5	187	297	98	X	40	21	643	27828	104	2.3106223947	2.5909126994	765
2012	6	217	315	122	X	44	49	747	28367	102	2.6333415589	2.8184454201	772
2012	7	239	334	150	X	62	54	839	28489	104	2.9449963144	3.1466033649	779
2012	8	231	312	152	X	56	56	807	26749	98	3.0169352125	3.0355928396	786
2012	9	238	368	185	X	65	61	917	27089	95	3.3851378788	3.4430967378	793
2012	10	236	361	129	X	58	75	859	26953	98	3.1870292732	3.1266889617	800
2012	11	187	276	127	X	44	45	679	25202	100	2.6942306166	2.6483435783	807
2012	12	100	141	79	X	41	35	396	23383	96	1.6935380405	1.6938712492	814
2012	13	74	102	50	X	24	23	273	22358	95	1.221039449	1.2089959912	821
2012	14	62	86	33	X	17	13	211	22671	91	0.9307044242	0.8861490574	828
2012	15	49	60	34	X	14	20	177	23645	91	0.7485726369	0.7903341397	835
2012	16	47	54	41	X	14	9	165	23189	86	0.7115442667	0.7519126977	842
2012	17	42	64	29	X	15	7	157	24188	87	0.6490821895	0.6920669659	849
2012	18	40	50	28	X	13	12	143	21460	78	0.6663560112	0.8370671339	856
2012	19	31	30	17	X	5	14	97	16866	73	0.5751215463	0.6643377059	863
2012	20	31	29	6	X	4	7	77	15076	70	0.5107455559	0.5171893522	870
2012	21	20	17	7	X	6	9	59	12023	58	0.4907261083	0.4406192958	877
2012	22	8	7	6	X	2	3	26	9430	56	0.2757158006	0.2740677663	884
2012	23	2	1	3	X	0	2	8	10162	48	0.0787246605	0.0857011385	891
2012	24	4	3	1	X	1	0	9	10009	51	0.0899190728	0.0813148556	898
2012	25	1	1	2	X	1	0	5	9652	48	0.0518027352	0.047498567	905
2012	26	1	2	1	X	2	0	6	7618	48	0.0787608296	0.0886177717	912
2012	27	5	5	2	X	4	2	18	8522	51	0.2112180239	0.174976319	919
2012	28	1	8	4	X	2	0	15	10321	48	0.1453347544	0.1705953513	926
2012	29	2	5	2	X	1	1	11	8076	48	0.1362060426	0.1323037302	933
2012	30	4	7	1	X	1	1	14	7975	47	0.1755485893	0.1344559416	940
2012	31	5	5	5	X	3	1	19	7633	46	0.2489191668	0.1745801694	947
2012	32	1	4	3	X	1	0	9	6944	42	0.1296082949	0.1137207554	954
2012	33	3	7	2	X	1	0	13	7652	43	0.1698902248	0.1501559286	961
2012	34	19	22	4	X	2	7	54	9575	43	0.5639686684	0.3931302248	968
2012	35	16	28	10	X	3	2	59	10766	48	0.5480215493	0.478097494	975
2012	36	17	26	13	X	5	6	67	9428	45	0.7106491303	0.6607823412	982
2012	37	26	35	15	X	7	8	91	10897	46	0.8350922272	0.912733799	989
2012	38	24	24	13	X	7	8	76	10809	48	0.7031177722	0.7619005682	996
2012	39	26	40	13	X	7	12	98	10940	48	0.8957952468	0.9639433811	1003
2012	40	73	81	57	X	20	23	254	23020	85	1.1033883579	1.0904901574	1010
2012	41	68	97	57	X	9	24	255	22719	88	1.1224085567	1.0633650927	1017
2012	42	101	128	54	X	23	17	323	22827	88	1.4149910194	1.3522947996	1024
2012	43	84	103	47	X	35	16	285	21680	86	1.3145756458	1.3204520792	1031
2012	44	113	158	60	X	25	22	378	23462	88	1.6111158469	1.4996789116	1038
2012	45	105	126	66	X	23	20	340	22033	92	1.5431398357	1.5616950872	1045
2012	46	115	163	72	X	25	40	415	22378	94	1.8544999553	1.9630036589	1052
2012	47	119	127	56	X	21	34	357	16724	96	2.1346567807	2.313745504	1059
2012	48	132	206	96	X	35	41	510	25068	96	2.0344662518	2.170012611	1066
2012	49	146	268	98	X	36	33	581	25946	98	2.2392661682	2.3140769703	1073
2012	50	167	307	120	X	41	35	670	24829	96	2.698457449	2.7939452247	1080
2012	51	222	359	175	X	72	40	868	20050	94	4.3291770574	4.0810745764	1087
2012	52	286	321	231	X	148	119	1105	16028	98	6.8941851759	6.7197503774	1094
2013	1	282	293	311	X	154	133	1173	18973	99	6.1824698255	5.8088226456	1101
2013	2	313	432	328	X	143	107	1323	23945	97	5.5251618292	5.0662522149	1108
2013	3	334	595	287	X	116	112	1444	25320	98	5.7030015798	5.2162691289	1115
2013	4	342	564	266	X	106	115	1393	24362	98	5.7179213529	5.3447472068	1122
2013	5	300	569	211	X	104	98	1282	22877	97	5.6038816278	5.1654417202	1129
2013	6	240	476	199	X	107	79	1101	23109	94	4.7643775153	4.3493903621	1136
2013	7	190	342	148	X	74	57	811	22076	94	3.6736727668	3.4258103256	1143
2013	8	148	234	124	X	56	60	622	19047	91	3.2656061322	3.0639937576	1150
2013	9	111	166	93	X	49	60	479	19019	87	2.5185340975	2.3791736306	1157
2013	10	99	157	111	X	47	42	456	20376	86	2.2379269729	2.261659085	1164
2013	11	70	130	88	X	30	42	360	18950	84	1.8997361478	1.9079418055	1171
2013	12	73	65	71	X	26	42	277	16714	84	1.6572932871	1.5160204846	1178
2013	13	53	76	69	X	20	27	245	17177	81	1.4263259009	1.5079136384	1185
2013	14	46	55	47	X	18	30	196	18009	77	1.0883447165	1.1311999287	1192
2013	15	52	56	31	X	18	20	177	17329	74	1.0214091985	1.0237557948	1199
2013	16	43	56	29	X	7	13	148	17533	76	0.8441225118	0.9269271149	1206
2013	17	30	68	36	X	15	16	165	17443	74	0.9459381987	0.9496180146	1213
2013	18	41	53	23	X	4	20	141	17464	74	0.8073751718	0.8406146175	1220
2013	19	29	39	22	X	16	12	118	16690	71	0.7070101857	0.7695428574	1227
2013	20	24	32	18	X	3	15	92	15700	68	0.5859872611	0.6036967245	1234
2013	21	40	24	18	X	5	11	98	12034	62	0.8143593153	0.7297619439	1241
2013	22	26	24	15	X	5	13	83	11228	61	0.7392233701	0.7704424239	1248
2013	23	8	3	3	X	4	2	20	9479	60	0.2109927208	0.1845362993	1255
2013	24	3	3	4	X	1	5	16	9011	57	0.1775607591	0.1698882771	1262
2013	25	8	8	0	X	4	2	22	8749	54	0.2514573094	0.2571954584	1269
2013	26	5	4	2	X	1	0	12	8552	56	0.1403180543	0.122999903	1276
2013	27	1	2	1	X	1	3	8	6554	51	0.1220628624	0.1008618401	1283
2013	28	4	3	1	X	0	0	8	8172	52	0.0978952521	0.1047534351	1290
2013	29	2	8	0	X	0	1	11	7565	49	0.1454064772	0.1315587669	1297
2013	30	5	5	0	X	0	0	10	8089	47	0.1236246755	0.1327702807	1304
2013	31	1	2	3	X	2	0	8	6735	47	0.1187824796	0.1240410806	1311
2013	32	20	19	13	X	6	6	64	7421	43	0.862417464	0.7061882361	1318
2013	33	16	18	8	X	6	7	55	8322	44	0.6608988224	0.4707133637	1325
2013	34	17	25	7	X	1	4	54	9662	45	0.5588904989	0.4669899731	1332
2013	35	5	9	4	X	0	2	20	9035	42	0.2213613724	0.1991226297	1339
2013	36	15	31	13	X	8	5	72	9177	44	0.784570121	0.7033537183	1346
2013	37	25	35	16	X	8	13	97	10547	44	0.9196928036	0.8596059233	1353
2013	38	24	26	18	X	9	3	80	9694	41	0.8252527336	0.760086663	1360
2013	39	50	50	18	X	11	14	143	40035	46	0.357187461	0.878808838	1367
2013	40	48	71	39	X	17	7	182	53575	90	0.339710686	0.6499223816	1374
2013	41	66	89	44	X	16	21	236	53465	91	0.4414102684	0.8479389575	1381
2013	42	48	93	47	X	16	13	217	55081	96	0.3939652512	0.7074645376	1388
2013	43	61	107	66	X	26	16	276	56232	93	0.4908237303	0.9121466939	1395
2013	44	82	98	49	X	18	21	268	53411	90	0.5017692985	0.796840621	1402
2013	45	74	113	73	X	19	11	290	55029	92	0.5269948573	0.8939024148	1409
2013	46	57	107	55	X	13	11	243	51839	92	0.4687590424	0.864877813	1416
2013	47	64	120	67	X	18	21	290	49916	91	0.5809760397	1.0384191529	1423
2013	48	55	63	71	X	20	11	220	38743	92	0.5678445138	1.1208514126	1430
2013	49	70	145	88	X	23	16	342	52044	95	0.6571362693	1.2566427984	1437
2013	50	71	162	108	X	38	16	395	49192	94	0.8029760937	1.5261617801	1444
2013	51	125	259	191	X	44	21	640	47082	94	1.3593305297	2.8078740462	1451
2013	52	173	213	238	X	91	31	746	32419	93	2.3011197137	4.4809019178	1458
2014	1	167	236	296	X	75	50	824	39270	93	2.098293863	4.0643641213	1465
2014	2	170	240	252	X	77	39	778	46034	93	1.6900551766	3.0475401847	1472
2014	3	210	334	235	X	85	50	914	50290	93	1.8174587393	3.0619494802	1479
2014	4	173	334	218	X	87	33	845	49302	94	1.7139264127	2.9535122085	1486
2014	5	167	361	203	X	47	30	808	50016	92	1.6154830454	2.7559043377	1493
2014	6	127	197	132	X	40	33	529	45872	91	1.1532089292	2.0534968748	1500
2014	7	121	158	124	X	47	20	470	48624	93	0.9666008555	1.5983867407	1507
2014	8	90	154	110	X	28	32	414	46439	90	0.8914920649	1.3837814138	1514
2014	9	90	148	95	X	26	27	386	52990	88	0.7284393282	1.1964831938	1521
2014	10	93	107	62	X	18	28	308	49208	89	0.6259144854	1.0970896352	1528
2014	11	91	126	84	X	30	22	353	48081	82	0.7341777417	1.3694591927	1535
2014	12	80	65	65	X	27	18	255	43453	86	0.5868409546	0.9891034155	1542
2014	13	51	64	40	X	18	23	196	48527	86	0.4038988604	0.8347142843	1549
2014	14	57	74	56	X	25	18	230	46453	79	0.4951241039	0.9885174183	1556
2014	15	52	70	38	X	15	13	188	47436	79	0.3963234674	0.6501630235	1563
2014	16	46	54	41	X	14	12	167	46393	77	0.3599680986	0.6234936583	1570
2014	17	48	64	39	X	10	15	176	45368	75	0.3879386352	0.6646683839	1577
2014	18	40	53	29	X	15	7	144	46141	72	0.3120868642	0.5266372473	1584
2014	19	49	58	22	X	4	9	142	44271	67	0.3207517336	0.6430124105	1591
2014	20	28	37	25	X	9	11	110	41405	64	0.2656683975	0.4784697807	1598
2014	21	22	33	30	X	9	6	100	40274	62	0.2482991508	0.503571455	1605
2014	22	36	32	23	X	8	10	109	35544	59	0.3066621652	0.5099520403	1612
2014	23	16	18	18	X	3	2	57	35702	53	0.1596549213	0.2528301027	1619
2014	24	25	14	9	X	2	4	54	36255	55	0.1489449731	0.1544956355	1626
2014	25	23	20	12	X	7	7	69	34357	51	0.2008324359	0.2168452349	1633
2014	26	8	15	5	X	6	5	39	33995	48	0.1147227533	0.1487061113	1640
2014	27	11	20	8	X	5	1	45	28554	49	0.1575961336	0.2257137314	1647
2014	28	27	12	7	X	2	3	51	34721	50	0.1468851704	0.1369489384	1654
2014	29	11	24	7	X	5	5	52	33388	52	0.1557445789	0.2137220647	1661
2014	30	18	11	14	X	5	4	52	33413	51	0.155628049	0.2179487822	1668
2014	31	19	25	11	X	0	2	57	34197	52	0.1666812878	0.3136219016	1675
2014	32	19	28	5	X	3	2	57	33309	49	0.1711249212	0.3251666695	1682
2014	33	1	11	3	X	5	0	20	7229	44	0.2766634389	0.2226234806	1689
2014	34	21	20	11	X	3	3	58	37628	47	0.1541405336	0.2383437587	1696
2014	35	30	43	3	X	3	3	82	39705	46	0.2065231079	0.2770643072	1703
2014	36	5	8	7	X	4	1	25	7184	36	0.3479955457	0.2893418698	1710
2014	37	29	55	32	X	2	5	123	38984	44	0.315514057	0.6391357744	1717
2014	38	42	64	11	X	10	6	133	37482	42	0.3548369884	0.5461967519	1724
2014	39	28	57	16	X	6	6	113	40841	44	0.2766827453	0.4884536664	1731
