YEAR	WEEK	AGE 0-4	AGE 5-24	AGE 25-49	AGE 25-64	AGE 50-64	AGE 65	ILITOTAL	TOTAL PATIENTS	NUM. OF PROVIDERS	% Unweighted ILI	ILI	Day
2011	40	128	197	119	X	29	26	499	51031	111	0.977837001	0.9869230021	646
2011	41	145	203	121	X	39	20	528	56535	124	0.9339347307	0.8262779339	653
2011	42	162	203	100	X	35	15	515	57558	127	0.8947496438	0.807496697	660
2011	43	172	201	107	X	46	11	537	56687	125	0.9473071427	0.8565439145	667
2011	44	168	240	123	X	40	21	592	55183	127	1.0727941576	0.9341506108	674
2011	45	191	246	118	X	33	12	600	55188	126	1.087192868	0.9634644668	681
2011	46	190	237	129	X	45	16	617	56499	124	1.0920547266	1.0143456852	688
2011	47	193	187	138	X	38	24	580	45822	128	1.2657675352	1.0581603013	695
2011	48	138	212	141	X	51	25	567	55608	124	1.0196374622	0.9376204449	702
2011	49	138	248	110	X	34	17	547	54158	125	1.0100077551	0.9182485754	709
2011	50	167	244	131	X	42	25	609	55291	124	1.1014450815	0.9921106292	716
2011	51	157	197	139	X	51	22	566	49753	123	1.137619842	1.0273625983	723
2011	52	173	181	164	X	48	30	596	46443	119	1.2832934996	1.1069089036	730
2012	1	191	195	159	X	59	29	633	52009	121	1.2170970409	1.0543666252	737
2012	2	205	242	172	X	58	23	700	57394	124	1.2196396836	1.0969427386	744
2012	3	224	260	135	X	37	24	680	54606	124	1.245284401	1.1338073865	751
2012	4	251	321	172	X	58	25	827	58132	123	1.4226243721	1.288281819	758
2012	5	348	378	176	X	56	31	989	57368	123	1.723957607	1.4992176936	765
2012	6	323	389	206	X	72	20	1010	57376	119	1.760317903	1.5567003628	772
2012	7	336	407	225	X	76	37	1081	57338	122	1.8853116607	1.6385378198	779
2012	8	352	463	258	X	78	31	1182	56729	119	2.0835904035	1.8507778162	786
2012	9	328	482	274	X	85	46	1215	63405	120	1.9162526615	1.6981232079	793
2012	10	260	492	282	X	97	40	1171	58782	119	1.9921064271	1.7906501403	800
2012	11	319	517	328	X	100	60	1324	55819	115	2.3719522027	2.2017651698	807
2012	12	234	362	232	X	73	39	940	55474	116	1.6944875077	1.5902947761	814
2012	13	212	344	193	X	70	39	858	51754	112	1.657842872	1.4608885312	821
2012	14	169	263	162	X	63	37	694	51080	118	1.3586530932	1.2078722717	828
2012	15	142	242	175	X	43	39	641	51444	114	1.2460150844	1.1169511977	835
2012	16	135	223	131	X	49	28	566	53255	114	1.0628110037	0.9454172313	842
2012	17	121	242	119	X	50	31	563	52287	114	1.0767494788	0.9375863828	849
2012	18	113	189	97	X	26	22	447	45918	98	0.9734744545	0.908343265	856
2012	19	105	209	95	X	23	17	449	50043	109	0.8972283836	0.7711570431	863
2012	20	108	180	100	X	34	19	441	48511	107	0.9090721692	0.8028695505	870
2012	21	106	149	84	X	20	11	370	49536	104	0.7469315245	0.6010316335	877
2012	22	133	194	112	X	25	20	484	44952	107	1.0767040399	0.812735584	884
2012	23	94	147	98	X	35	15	389	46696	104	0.8330477985	0.6653690591	891
2012	24	90	127	85	X	20	17	339	43410	90	0.7809260539	0.5927227077	898
2012	25	98	120	65	X	25	9	317	42565	87	0.7447433337	0.564215025	905
2012	26	70	100	63	X	21	13	267	40805	84	0.654331577	0.4903524956	912
2012	27	64	93	52	X	17	12	238	38170	87	0.6235263296	0.4507038988	919
2012	28	65	96	57	X	14	4	236	42272	86	0.5582891749	0.4491770615	926
2012	29	84	90	53	X	10	5	242	41996	81	0.5762453567	0.4678896881	933
2012	30	73	107	53	X	24	9	266	40875	78	0.650764526	0.5130300477	940
2012	31	66	96	69	X	12	9	252	42998	84	0.5860737709	0.5043550083	947
2012	32	64	83	51	X	12	16	226	42644	82	0.5299690461	0.4444843894	954
2012	33	97	102	54	X	21	11	285	44067	85	0.6467424603	0.5300097358	961
2012	34	70	99	74	X	14	10	267	44051	82	0.6061156387	0.5309683988	968
2012	35	70	135	78	X	15	14	312	44917	81	0.6946145112	0.578547341	975
2012	36	85	173	89	X	28	8	383	39938	83	0.958986429	0.7294179002	982
2012	37	82	190	102	X	19	14	407	45111	83	0.902218971	0.678427555	989
2012	38	91	144	68	X	17	11	331	46935	85	0.7052306381	0.5798781456	996
2012	39	76	171	77	X	33	22	379	44569	80	0.8503668469	0.7129344761	1003
2012	40	97	181	93	X	27	23	421	50813	116	0.8285281326	0.7772790049	1010
2012	41	112	202	70	X	38	15	437	51233	118	0.8529658618	0.7965378899	1017
2012	42	114	160	109	X	38	25	446	50535	118	0.8825566439	0.8058174914	1024
2012	43	125	169	73	X	24	25	416	51312	118	0.8107265357	0.7274601635	1031
2012	44	121	231	115	X	39	23	529	50876	116	1.0397830018	0.922181845	1038
2012	45	137	209	119	X	38	20	523	51932	115	1.0070861896	0.9327399807	1045
2012	46	146	238	145	X	33	20	582	53061	119	1.0968507944	1.0240688985	1052
2012	47	178	288	129	X	37	20	652	41214	112	1.5819867035	1.4187550343	1059
2012	48	191	371	194	X	71	37	864	57169	121	1.5113085763	1.3282180522	1066
2012	49	238	441	218	X	82	42	1021	53572	118	1.9058463376	1.6884775998	1073
2012	50	276	547	269	X	105	48	1245	48613	102	2.5610433423	2.4254215379	1080
2012	51	395	841	356	X	146	106	1844	53092	111	3.4732163038	3.1806463002	1087
2012	52	513	721	520	X	172	113	2039	42340	111	4.815777043	4.0975302909	1094
2013	1	553	626	608	X	218	138	2143	49524	113	4.3271948954	3.7448142963	1101
2013	2	490	812	698	X	317	156	2473	59167	118	4.1796947623	3.8531273505	1108
2013	3	521	927	689	X	267	113	2517	57704	122	4.361915985	4.1378736803	1115
2013	4	497	880	565	X	198	135	2275	54440	116	4.1789125643	3.9764748115	1122
2013	5	462	815	494	X	182	97	2050	56408	113	3.6342362785	3.4429069041	1129
2013	6	424	732	371	X	180	98	1805	57550	112	3.1364031277	2.9731248663	1136
2013	7	371	560	338	X	152	52	1473	55242	115	2.6664494406	2.6325497557	1143
2013	8	363	463	296	X	92	71	1285	55308	116	2.3233528603	2.1715516974	1150
2013	9	278	404	267	X	103	68	1120	54167	110	2.0676795835	2.1031885395	1157
2013	10	233	380	228	X	85	54	980	55364	111	1.7701033162	1.7986755025	1164
2013	11	223	357	214	X	74	46	914	53711	108	1.701699838	1.7533655231	1171
2013	12	151	283	184	X	64	20	702	54966	116	1.2771531492	1.2126174759	1178
2013	13	162	246	137	X	56	38	639	52257	115	1.2228026867	1.2491344416	1185
2013	14	169	176	166	X	56	31	598	50208	111	1.1910452518	1.1680132388	1192
2013	15	114	197	124	X	42	25	502	49730	112	1.0094510356	1.0131445935	1199
2013	16	100	191	117	X	35	21	464	50063	113	0.9268321914	1.0163929031	1206
2013	17	122	209	110	X	23	17	481	51488	111	0.9341982598	1.0065675447	1213
2013	18	120	195	116	X	47	18	496	51734	109	0.9587505316	1.0040494566	1220
2013	19	120	184	103	X	36	9	452	50430	107	0.8962918897	0.9292672061	1227
2013	20	106	176	72	X	25	15	394	51086	105	0.771248483	0.7385679613	1234
2013	21	109	162	78	X	27	13	389	47456	103	0.8197066757	0.7842514496	1241
2013	22	123	147	84	X	29	17	400	43769	103	0.9138888254	0.8024255356	1248
2013	23	103	115	72	X	36	24	350	47087	101	0.7433049462	0.7317144002	1255
2013	24	103	101	97	X	18	15	334	46697	103	0.7152493736	0.681907343	1262
